time[s],bar1,bar2
"0,00","196,00","193,00"
"10,00","182,40","171,60"
"20,00","158,30","143,50"
"30,00","143,70","129,00"
"40,00","125,30","110,80"
"50,00","111,10","96,40"
"60,00","98,90","85,30"
"70,00","92,00","79,30"
"80,00","83,50","72,10"
"90,00","76,30","66,70"
"100,00","70,40","62,30"
"110,00","67,10","59,30"
"120,00","62,40","55,20"
"130,00","57,70","51,90"
"140,00","53,60","49,00"
"150,00","51,30","47,20"
"160,00","48,20","44,60"
"170,00","45,50","42,00"
"180,00","42,90","39,90"
"190,00","41,20","38,70"
"200,00","39,10","36,90"
"210,00","37,20","35,20"
"220,00","35,50","33,80"
"230,00","34,40","32,90"
"240,00","32,90","31,70"
"250,00","31,60","30,50"
"260,00","30,40","29,50"
"270,00","29,70","28,90"
"280,00","28,60","28,10"
"290,00","27,70","27,30"
"300,00","27,10","26,80"
"310,00","26,20","26,00"
"320,00","25,50","25,30"
"330,00","24,80","24,70"
"340,00","24,40","24,40"
"350,00","23,70","23,90"
"360,00","23,30","23,40"
"370,00","22,90","22,90"
"380,00","22,60","22,50"
"390,00","22,30","22,20"
"400,00","22,00","21,80"
"410,00","21,70","21,40"
"420,00","21,50","21,10"
"430,00","21,30","20,70"
"440,00","21,10","20,40"
"450,00","20,90","20,20"
"460,00","20,80","20,00"
"470,00","20,60","19,70"
"480,00","20,30","19,50"
"490,00","20,00","19,30"
"500,00","19,90","19,20"
"510,00","19,70","19,10"
"520,00","19,60","19,10"
"530,00","19,50","19,10"
